station,name,latitude,longitude,elevation,date,precipitation,temperature_max,temperature_min,temperature_obs
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-06-24,0.0,72,53,69
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-06-25,0.0,78,54,69
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-06-26,0.0,75,55,71
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-06-27,0.0,76,56,62
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-06-28,0.0,81,57,78
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-06-29,0.0,83,57,73
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-06-30,0.0,78,59,72
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-01,0.0,77,56,71
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-02,0.0,77,58,74
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-03,0.0,79,55,75
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-04,0.0,82,57,78
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-05,0.0,88,59,82
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-06,0.0,84,61,74
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-07,0.0,76,57,69
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-08,0.0,76,57,73
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-09,0.0,81,54,74
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-10,0.0,74,57,69
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-11,0.0,77,57,75
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-12,0.0,75,56,73
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-13,0.0,81,56,74
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-14,0.0,83,56,78
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-15,0.0,85,56,76
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-16,0.0,84,56,72
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-17,0.0,77,56,68
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-18,0.0,77,59,70
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-19,0.0,85,59,80
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-20,0.0,83,61,77
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-21,0.0,79,60,73
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-22,0.0,82,59,73
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-23,0.0,84,60,78
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-24,0.07,78,58,64
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-25,0.04,75,56,67
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-26,0.0,74,58,70
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-27,0.0,78,56,73
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-28,0.0,79,58,73
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-29,0.0,76,57,73
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-30,0.0,77,58,70
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-07-31,0.0,76,56,72
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-01,0.0,79,56,73
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-02,0.0,83,56,72
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-03,0.0,82,59,75
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-04,0.0,82,59,74
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-05,0.0,74,62,69
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-06,0.0,78,63,74
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-07,0.0,77,64,71
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-08,0.0,80,63,73
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-09,0.0,76,62,69
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-10,0.0,74,60,69
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-11,0.0,78,56,73
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-12,0.0,79,56,76
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-13,0.0,83,56,78
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-14,0.0,87,56,84
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-15,0.0,90,65,84
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-16,0.0,91,65,82
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-17,0.0,90,64,74
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-18,0.0,77,58,71
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-19,0.0,73,54,69
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-20,0.0,77,55,71
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-21,0.0,77,55,68
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-22,0.0,71,54,62
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-23,0.14,72,59,67
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-24,0.0,73,55,69
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-25,0.0,80,61,72
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-26,0.0,82,58,78
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-27,0.0,83,58,71
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-28,0.0,71,64,66
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-29,0.0,67,60,63
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-30,0.0,74,60,68
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-08-31,0.12,69,59,64
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-09-01,0.0,75,59,71
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-09-02,0.0,82,57,74
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-09-03,0.03,74,61,62
USC00458278,"TACOMA NUMBER 1, WA US",47.2472,-122.4122,7.6,2023-09-04,0.04,67,56,64
